choiceCode,variantCode,variantName,upcharge_Amount
10 PC Choice,180060,10 PC,.0
3 Dipping Sauces,191005,Dip Tomato,.0
3 Dipping Sauces,191009,Dip Sweet Sour,.0
3 Dipping Sauces,191008,Dip Sweet Chili,.0
3 Dipping Sauces,191007,Dip Supercharge,.0
3 Dipping Sauces,191006,Dip BBQ,.0
3 Dipping Sauces,191010,Dip Aioli,.0
6 Nuggets Choice,184000,6 Nuggets,.0
2 Dipping Sauces,191005,Dip Tomato,.0
2 Dipping Sauces,191009,Dip Sweet Sour,.0
2 Dipping Sauces,191008,Dip Sweet Chili,.0
2 Dipping Sauces,191007,Dip Supercharge,.0
2 Dipping Sauces,191006,Dip BBQ,.0
2 Dipping Sauces,191010,Dip Aioli,.0
Combo Sides Choice,136005,Reg Chips,.0
Combo Sides Choice,136015,Lg Chips,2.00
Combo Sides Choice,136040,Reg Coleslaw,.0
Combo Sides Choice,136026,Gravy,.0
Combo Sides Choice,136046,Dinner Roll,.0
Zinger Stacker® Burger Combo choice,100500,Zinger Stacker,.0
10 Wicked Wings,181002,10 Wicked Wings,.0
6 Wicked Wings,181001,6 Wicked Wings,.0
3 PC Original Tenders Choice,183001,3 Tenders,.0
Kids Meal Snack Popcorn Chicken,185002,Snack Popcorn,.0
Original Crispy Burger,100088,Orig Crispy Bgr,.0
Boxed Drinks,141007,Reg Pepsi,.0
Boxed Drinks,141111,Lg Pepsi,.90
Boxed Drinks,141040,Reg 7Up,.0
Boxed Drinks,141043,Lg 7Up,.90
Boxed Drinks,141020,Reg Mt Dew,.0
Boxed Drinks,141025,Lg Mt Dew,.90
Boxed Drinks,141030,Reg Solo,.0
Boxed Drinks,141031,Lg Solo,.90
Boxed Drinks,141015,Reg Sunkist,.90
Boxed Drinks,141016,Lg Sunkist,.0
Boxed Drinks,141076,Apple Juice,.0
Boxed Drinks,141126,Lipton Iced Tea,.90
Boxed Drinks,141055,Reg Pepsi Max,.0
Boxed Drinks,141060,Lg Pepsi Max,.90
Boxed Drinks,141124,Dew Freeze,.80
Boxed Drinks,141123,Pepsi Freeze,.80
Boxed Drinks,141125,Rasp Freeze,.80
3 Wicked Wings,170703,3 Wicked Wings,.0
6 PC Choice,180101,6 PC,.0
Dipping Sauces,191008,Dip Sweet Chili,.0
Dipping Sauces,191007,Dip Supercharge,.0
Dipping Sauces,191006,Dip BBQ,.0
Dipping Sauces,191009,Dip Sweet Sour,.0
Dipping Sauces,191005,Dip Tomato,.0
Dipping Sauces,191010,Dip Aioli,.0
4 OR Tenders Choice,183049,4 OR Tenders,.0
Shared Meals 2nd  Side choice,136047,4 Dinner Rolls,.0
Shared Meals 2nd  Side choice,136045,Lg Coleslaw,.0
Shared Meals 2nd  Side choice,136027,Lg Pot/Gravy,.0
Shared Meals 2nd  Side choice,136015,Lg Chips,.0
4 PC Choice,180054,4 PC,.0
Double Tender™ Burger Combo choice,100057,Double Tender,.0
Boxed 2nd Sides,136025,Reg Pot/Gravy,.0
Boxed 2nd Sides,136040,Reg Coleslaw,.0
Boxed 2nd Sides,136026,Gravy,.0
Boxed 2nd Sides,136046,Dinner Roll,.0
Boxed 2nd Sides,136015,Lg Chips,.0
3 PC H&C CMB,182014,3 BONELESS H&C,.0
8 OR Tenders,183004,8 Tenders,.0
Boxed Chicken Choice - 3 Wicked Wings,170101,Original,.0
Boxed Chicken Choice - 3 Wicked Wings,182007,2 BONELESS H&C,.0
Boxed Chicken Choice - 3 Wicked Wings,170703,3 Wicked Wings,.0
Boxed Chicken Choice - 3 Wicked Wings,170102,Hot & Spicy,.0
Boxed Chicken Choice - 3 Wicked Wings,170601,TENDER,.50
Boxed Chicken Choice - 3 Wicked Wings,182012,Crispy Fillet,1.35
Boxed Chicken Choice - 3 Wicked Wings,170502,Zinger PC,1.35
Boxed Chicken Choice - 3 Wicked Wings,185002,Snack Popcorn,.0
Zinger Crunch Burger Choice,100068,Zinger Crunch,.0
Kids Meal Sides,136046,Dinner Roll,.0
Kids Meal Sides,136026,Gravy,.0
Kids Meal Sides,136005,Reg Chips,.0
Shared Meals 1st Side choice,136015,Lg Chips,.0
Shared Meals 1st Side choice,136027,Lg Pot/Gravy,.0
Shared Meals 1st Side choice,136045,Lg Coleslaw,.0
Shared Meals 1st Side choice,136047,4 Dinner Rolls,.0
Maxi Popcorn Chicken,185001,Maxi Popcorn,.0
Kids Meal Drinks,141076,Apple Juice,.0
Kids Meal Drinks,141016,Lg Sunkist,.0
Kids Meal Drinks,141040,Reg 7Up,.0
Kids Meal Drinks,141007,Reg Pepsi,.0
Kids Meal Drinks,141013,Sparkling Water,.0
Kids Meal Drinks,141070,Water 600mL,.0
Kids Meal Drinks,141126,Lipton Iced Tea,.0
Kids Meal Drinks,141020,Reg Mt Dew,.0
Kids Meal Drinks,141030,Reg Solo,.0
SNK POPCORN CMB,185002,Snack Popcorn,.0
Popcorn Chicken choice,185000,Reg Popcorn,.0
Shared Meals 2nd Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 2nd Burger Choice,100089,OC B&C,.0
Shared Meals 2nd Burger Choice,100502,OC BBQ Stacker,.0
Shared Meals 2nd Burger Choice,100057,Double Tender,.0
Shared Meals 2nd Burger Choice,100250,Zinger Burger,.0
Shared Meals 2nd Burger Choice,100501,Zinger B&C,.0
Shared Meals 2nd Burger Choice,100500,Zinger Stacker,.0
Shared Meals 2nd Burger Choice,100068,Zinger Crunch,.0
Shared Meals 2nd Burger Choice,120009,Zinger Twist,.0
Shared Meals 2nd Burger Choice,120008,Original Twist,.0
10 Nuggets Choice,184001,10 Nuggets,.0
6 PC H&C CMB,182019,6 Hot Crispy,.0
Shared Meals 3rd Burger Choice,120008,Original Twist,.0
Shared Meals 3rd Burger Choice,120009,Zinger Twist,.0
Shared Meals 3rd Burger Choice,100068,Zinger Crunch,.0
Shared Meals 3rd Burger Choice,100500,Zinger Stacker,.0
Shared Meals 3rd Burger Choice,100501,Zinger B&C,.0
Shared Meals 3rd Burger Choice,100250,Zinger Burger,.0
Shared Meals 3rd Burger Choice,100057,Double Tender,.0
Shared Meals 3rd Burger Choice,100502,OC BBQ Stacker,.0
Shared Meals 3rd Burger Choice,100089,OC B&C,.0
Shared Meals 3rd Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 1.25L choice,141017,1.25L Sunkist,.0
Shared Meals 1.25L choice,141026,1.25L Mt Dew,.0
Shared Meals 1.25L choice,141032,1.25L Solo,.0
Shared Meals 1.25L choice,141044,1.25L 7Up,.0
Shared Meals 1.25L choice,141061,1.25L Pepsi Max,.0
Shared Meals 1.25L choice,141011,1.25L Pepsi,.0
Zinger® Crunch Bowl choice,136067,Zinger Bowl,.0
5 Original Tenders,183002,5 Tenders,.0
Zinger® Bacon & Cheese Burger choice,100501,Zinger B&C,.0
15 PC Choice,180033,15 PC,.0
18 Nuggets Choice,184005,18 Nuggets,.0
Boxed 1st Sides,136008,Portion Chips,.0
Boxed 1st Sides,136015,Lg Chips,1.60
Boxed 1st Sides,136025,Reg Pot/Gravy,.0
Boxed 1st Sides,136040,Reg Coleslaw,.0
Boxed 1st Sides,136046,Dinner Roll,.0
Boxed 1st Sides,136026,Gravy,.0
Kids Meal Slider choices,120002,Pepper Slider,.0
Kids Meal Slider choices,120003,BBQ Slider,.0
Original Tenders™ Crunch Bowl choice,136066,Original Bowl,.0
Shared Meals 3rd  Side choice,136015,Lg Chips,.0
Shared Meals 3rd  Side choice,136027,Lg Pot/Gravy,.0
Shared Meals 3rd  Side choice,136045,Lg Coleslaw,.0
Shared Meals 3rd  Side choice,136047,4 Dinner Rolls,.0
Combo Drinks,141007,Reg Pepsi,.0
Combo Drinks,141111,Lg Pepsi,1.60
Combo Drinks,141040,Reg 7Up,.0
Combo Drinks,141043,Lg 7Up,1.60
Combo Drinks,141020,Reg Mt Dew,.0
Combo Drinks,141025,Lg Mt Dew,1.60
Combo Drinks,141030,Reg Solo,.0
Combo Drinks,141031,Lg Solo,1.60
Combo Drinks,141015,Reg Sunkist,.0
Combo Drinks,141016,Lg Sunkist,.0
Combo Drinks,141070,Water 600mL,.0
Combo Drinks,141013,Sparkling Water,.0
Combo Drinks,141076,Apple Juice,.0
Combo Drinks,141126,Lipton Iced Tea,.90
Zinger Burger Choice,100250,Zinger Burger,.0
Shared Meals 4th Burger Choice,120008,Original Twist,.0
Shared Meals 4th Burger Choice,120009,Zinger Twist,.0
Shared Meals 4th Burger Choice,100068,Zinger Crunch,.0
Shared Meals 4th Burger Choice,100500,Zinger Stacker,.0
Shared Meals 4th Burger Choice,100501,Zinger B&C,.0
Shared Meals 4th Burger Choice,100250,Zinger Burger,.0
Shared Meals 4th Burger Choice,100057,Double Tender,.0
Shared Meals 4th Burger Choice,100502,OC BBQ Stacker,.0
Shared Meals 4th Burger Choice,100089,OC B&C,.0
Shared Meals 4th Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 1st Burger Choice,120008,Original Twist,.0
Shared Meals 1st Burger Choice,120009,Zinger Twist,.0
Shared Meals 1st Burger Choice,100068,Zinger Crunch,.0
Shared Meals 1st Burger Choice,100500,Zinger Stacker,.0
Shared Meals 1st Burger Choice,100501,Zinger B&C,.0
Shared Meals 1st Burger Choice,100250,Zinger Burger,.0
Shared Meals 1st Burger Choice,100057,Double Tender,.0
Shared Meals 1st Burger Choice,100502,OC BBQ Stacker,.0
Shared Meals 1st Burger Choice,100089,OC B&C,.0
Shared Meals 1st Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 4th Side choice,136047,4 Dinner Rolls,.0
Shared Meals 4th Side choice,136045,Lg Coleslaw,.0
Shared Meals 4th Side choice,136027,Lg Pot/Gravy,.0
Shared Meals 4th Side choice,136015,Lg Chips,.0
Original Crispy BBQ Bacon Stacker® Burger Choice,100502,OC BBQ Stacker,.0
Original Crispy Bacon & Cheese Burger choice,100088,Orig Crispy Bgr,.0
