Number,Item Type,Short name,Chit name,Long name,Chit name alternate,Long name alternate,Tax group,Sales/retail category,Available for online,Online name,Online description,Surcharge,Combine Price,Highlight,Print independently,Context panel,Modifier 1,Modifier 2,Modifier 3,Modifier 4,Modifier 5,Pricing method,Allow change price,Default price,Print on check,Context Sensitive Panel,Modifier Group,Modifier Item,Included,Takeout checklist
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,Popcorn Chicken Maxi,Popcorn Chicken Maxi,Popcorn Chicken Maxi,Popcorn Chicken Maxi,Popcorn Chicken Maxi,1,100,Yes,Popcorn Chicken Maxi,KFC,,,,,,,,,,,,,,,,,,,
,,Popcorn Chicken Regular,Popcorn Chicken Regular,Popcorn Chicken Regular,Popcorn Chicken Regular,Popcorn Chicken Regular,1,100,Yes,Popcorn Chicken Regular,KFC,,,,,,,,,,,,,,,,,,,
,,Popcorn Chicken Snack,Popcorn Chicken Snack,Popcorn Chicken Snack,Popcorn Chicken Snack,Popcorn Chicken Snack,1,100,Yes,Popcorn Chicken Snack,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,Burger,Zinger Burger,Zinger Burger,Zinger Burger,Zinger Burger,Zinger Burger,1,100,Yes,Zinger Burger,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,Large Chips,Large Chips,Large Chips,Large Chips,Large Chips,1,100,Yes,Large Chips,KFC,,,,,,,,,,,,,,,,,,,
,,Regular Chips,Regular Chips,Regular Chips,Regular Chips,Regular Chips,1,100,Yes,Regular Chips,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,Yes,,KFC,,,,,,,,,,,,,,,,,,,
