MGroup_Name,MGroup_POSNumber,ModifierGroupUniqueID
Fillet Swap,11762,5af630be-780a-4a2f-bb70-53e1502e0342
Burger Recipe,11750,f17aa41c-b530-454b-97bd-01f0656fae67
4 Wicked Wings,16058,f076229d-16ef-4ad7-a8fb-dba9f40d5e28
BYO Bucket Mods Delivery price,16077,bc7e3d20-d6f8-4ee0-91e3-5f4e7189d728
Make it a Combo,11757,6175f66c-6808-490f-9e14-2ac7740b45df
2 Dipping Sauce,16010,83129607-2203-493d-b966-08e22fd9f7b1
Modify 20 Pcs,16027,99da0547-037a-482f-b0a8-a44ff1472048
Modify 125 Pcs,16045,50e7c6a1-285d-4c33-b240-ca12f94b83aa
Modify 75 Pcs,16044,dabacafa-31fc-4259-a811-c04ada870af4
12 Wicked Wings,16065,47e78692-401e-44d0-87bd-e80504268c2e
BYO Bucket Mods Eat Out price,16066,6dce1e47-5ce7-4b79-8646-2b1effd8eff2
Tender Swap,11761,2ab34eb3-50f3-4b4f-a806-df230aaf591a
Modify 6 Tenders,16001,84ad977c-daf2-4a57-b3ad-240143cb5b22
2 Reg Drinks,11768,328a7190-4837-43da-9bf7-17f0d0735095
Modify 11 Pcs,16023,5be97a7c-c327-43fa-980d-c89a3c78e4c8
15 Wicked Wings,16050,b82491fe-5598-4f6b-891f-7def5adfe994
3 Dipping Sauce,16012,74c41a8d-367a-46a1-9e02-30479c86d18e
2 Wicked Wings,16054,b388aebc-6a33-4720-ae3b-e6bc82f4c8af
Modify 16 Tenders,16076,da46b17f-ab9b-436f-82f8-f3eae2f95cde
Car Details,10000,885e6fe0-01cd-477b-a194-6428686f32ac
6 Wicked Wings,16053,5733bf6c-f427-40ed-999e-6327e1f1975f
Modify 16 Pcs,16026,946a158b-ff49-411a-9493-8db1fcd667c6
NO Part,11754,10057fd9-5130-4c41-948f-43e5ad072957
Modify 5 Pcs,16017,0de7d24d-4ec2-4201-ac27-1384eb7a23e0
2x Fillet Swap,11760,3e62e6da-5ef6-4c05-ae05-97d96771f64e
Modify 8 Tenders,16033,30af6bd3-1629-44e4-9de7-20ceab485400
5 Wicked Wings,16059,6e3ec30b-67df-47e0-8069-07b78c4e3711
Modify 10 Tenders,16035,ad4cf329-871d-46ca-8ceb-77a84955ddf6
Modify 6 Fillet Pcs,16000,1e103322-470f-4c90-94d9-58ddac2c610c
Modify 3 Pcs,16015,db91c55b-fde9-49e9-a1af-57711403ce8d
Modify 30 Pcs,16042,703b8b63-f599-4322-b861-a9f6daad9c74
Modify 4 Fillet Pcs,16003,091ef970-c725-4ef5-8e7d-60967e0d69e2
Modify 15 Tenders,16069,d8228485-8f72-4906-9a0a-26e7dd8a7718
Flt/Tender Swap,11763,103702d9-984f-4d98-8d33-5103c87c365b
30 Wicked Wings,16056,558f61d7-d330-41df-a75b-a62c892f5365
5 Dipping Sauce,16060,d213e364-b160-4d91-a6ab-16055e68c272
Modify 12 Tenders,16068,bcd58673-eae0-4c08-82c0-e26fd3b532b3
Modify Chips,11752,99aa0fd1-7db7-4fd4-9347-7eb798543cb9
Modify 9 Tenders,16067,62a3655f-8938-44d0-9803-a9569f73020d
4 Reg Drinks,11767,12697374-c86a-4b2c-897d-dcaf7a61c90b
30 Tenders,16039,6475b2bb-6157-4259-a374-5818791ff798
4 Dipping Sauce,16037,6ae7390d-1a47-49e1-8f2c-528adabc519d
10 Wicked Wings,16052,64b12454-8192-4472-b348-6ac3241a0c86
Add 2 Sides,16078,ce7af395-982f-4335-a76a-4dbd7b788934
Modify 6 Pcs,16018,fd62c450-d137-4bea-befd-893c6d78b538
5 Large Sides,16046,60b2207e-37fd-4c82-9d1d-bd371ca4f7e4
Burger Choice,11755,79bc810f-2ed2-414a-a1d0-98dc4e099f96
Modify 12 Pcs,16024,30a17749-965e-406b-ac9a-e8caba452df3
Upsize Drink,11765,98ce9712-f98e-4c6a-839d-2d8e239a549b
70 Tenders,16041,487e577c-505f-4038-8a49-ba6ea15108e8
Modify 1 Pcs,16029,b88bfbc5-0342-476f-89b1-4b7997cffcef
3 Wicked Wings,16051,fdbb1a83-8512-4376-b3b8-e10a96376269
Modify 10 Pcs,16022,60c90b69-81f0-43b4-a9fa-c23bd0d261dc
12 Large Sides,16048,c00217f8-5a29-46dc-a716-a3d8053b58f1
Modify 4 Pcs,16016,5cc95baf-2dc3-4c12-956e-6593dbe4443b
Modify 14 Pcs,16025,faf6a815-b66a-4816-b020-d4f040318231
50 Tenders,16040,76ee1db9-22ff-454b-868a-8e2a198e29e4
1/2 Freeze,11751,00ffef84-97b7-4595-90d9-b1cec6a11c62
Modify 3 Tenders,16031,6cd33c5a-0f5b-47cc-ac77-619949b0f9db
Modify 4 Tenders,16030,8ad49e65-1858-4d46-9068-fb02f1f38d32
8 Wicked Wings,16075,52131ca2-242c-4eef-9b69-90f113779749
11 Wicked Wings,16071,ae9edd9e-a0aa-4290-b793-aee4d9a10583
Modify 5 Tenders,16032,5180d241-8e0d-4f21-897c-3b8fd6d5c535
Modify 15 Pcs,16011,0d621fbd-4bb2-496f-a083-bc73d08cd872
Add Chips&Drink,16079,71feb25e-1702-4e0d-8677-becdcae5a9ac
6 Dipping Sauce,16070,870a7277-b515-4fdc-bfb9-28ae73bc39a8
Tender/Flt Swap,11759,0d3d6181-d770-4412-ac1e-196f8a9aae1b
4 Reg Sides,11756,d2947621-f3d7-4110-8d83-c122cb0f90f2
20 Tenders,16038,2d6147f6-9bc6-4ac2-b817-9efa472f5bf7
Dipping Sauce,16006,2c70d71e-8bd7-468a-9e1e-cac3f2b246fc
Modify 21 Pcs,16028,7920a1a5-cdf8-40f3-b354-42231a939c91
Modify 7 Pcs,16019,3b413dfc-c77c-438c-9418-a883c9a572bf
Modify 6 H&C Pcs,15013,b79f220f-a786-4195-a427-2b49148b6e83
Modify 2 Fillet Pcs,16004,ad706dc7-1d56-4fdf-90d8-d31d60d25a0b
Modify 2 Tenders,16034,186cbcb8-926b-4eb0-954e-70ebcb40173d
8 Large Sides,16047,cce4348f-605b-4934-9fed-3789c43a6fda
Up Chips,11766,8727eda8-25d8-4a31-8058-bb110ac0f227
Modify 2 Pcs,16014,170f5939-cbe5-4493-b20b-d09b231def08
PostMix Mods,11758,55c190ce-7bd8-4781-8644-4bc1cc9f2cf7
Modify 50 Pcs,16043,ad7ec4f8-5aaf-4dd1-9a1c-f799dc4f1454
Modify 8 Pcs,16020,910e512c-1c13-4ffd-966e-8284fc219abd
Modify 9 Pcs,16021,a04baccb-24dc-46b5-9439-eac5b421103a
50 Wicked Wings,16057,d4043d36-bd22-4ac0-8516-cfd292d2dfc5
20 Wicked Wings,16055,3567cbe0-bbe3-4a4f-9311-fd5b3d7c2b44
Modify 3 H&C Pcs,15012,4a0c1482-7d14-471d-b0f9-fe2a37c58414
Add Flt,11769,2097b35e-7a88-4c9d-aa11-5b368a2fc48c
18 Large Sides,16049,784cd463-7b3f-4ab8-927a-6db81d385b5c
